narrator_id,interview_id,n_scored_segments,n_unique_types,what_order_mean_embed,how_composure_mean_embed,dominant_type_3x2_summary,dominant_type_tie_flag,interview_level_share_vector_3x2,scored_segment_ids_json,source_return_paths_json
1,ddr-densho-1000-1,11,2,1.957054,0.531238,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.363636, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.636364}","[""ddr-densho-1000-1-4"", ""ddr-densho-1000-1-7"", ""ddr-densho-1000-1-9"", ""ddr-densho-1000-1-10"", ""ddr-densho-1000-1-11"", ""ddr-densho-1000-1-12"", ""ddr-densho-1000-1-18"", ""ddr-densho-1000-1-19"", ""ddr-densho-1000-1-22"", ""ddr-densho-1000-1-25"", ""ddr-densho-1000-1-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_1_v1.csv""]"
104,ddr-densho-1000-103,6,3,1.961546,0.529142,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.166667, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.166667, ""Wounded Belonging"": 0.666667}","[""ddr-densho-1000-103-12"", ""ddr-densho-1000-103-13"", ""ddr-densho-1000-103-15"", ""ddr-densho-1000-103-18"", ""ddr-densho-1000-103-21"", ""ddr-densho-1000-103-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_103_v1.csv""]"
108,ddr-densho-1000-107,15,3,1.950033,0.508917,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.066667, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.333333, ""Wounded Belonging"": 0.6}","[""ddr-densho-1000-107-3"", ""ddr-densho-1000-107-4"", ""ddr-densho-1000-107-6"", ""ddr-densho-1000-107-7"", ""ddr-densho-1000-107-9"", ""ddr-densho-1000-107-11"", ""ddr-densho-1000-107-12"", ""ddr-densho-1000-107-14"", ""ddr-densho-1000-107-15"", ""ddr-densho-1000-107-18"", ""ddr-densho-1000-107-20"", ""ddr-densho-1000-107-21"", ""ddr-densho-1000-107-23"", ""ddr-densho-1000-107-25"", ""ddr-densho-1000-107-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_107_v1.csv""]"
108,ddr-densho-1000-131,13,3,1.972537,0.518204,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.076923, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.153846, ""Wounded Belonging"": 0.769231}","[""ddr-densho-1000-131-2"", ""ddr-densho-1000-131-3"", ""ddr-densho-1000-131-4"", ""ddr-densho-1000-131-5"", ""ddr-densho-1000-131-7"", ""ddr-densho-1000-131-9"", ""ddr-densho-1000-131-10"", ""ddr-densho-1000-131-11"", ""ddr-densho-1000-131-13"", ""ddr-densho-1000-131-14"", ""ddr-densho-1000-131-15"", ""ddr-densho-1000-131-16"", ""ddr-densho-1000-131-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_131_v1.csv""]"
111,ddr-densho-1000-111,12,2,1.947230,0.512530,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.166667, ""Wounded Belonging"": 0.833333}","[""ddr-densho-1000-111-6"", ""ddr-densho-1000-111-7"", ""ddr-densho-1000-111-9"", ""ddr-densho-1000-111-10"", ""ddr-densho-1000-111-13"", ""ddr-densho-1000-111-14"", ""ddr-densho-1000-111-16"", ""ddr-densho-1000-111-17"", ""ddr-densho-1000-111-18"", ""ddr-densho-1000-111-23"", ""ddr-densho-1000-111-24"", ""ddr-densho-1000-111-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_111_v1.csv""]"
111,ddr-densho-1000-112,13,3,1.945039,0.533590,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.076923, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.076923, ""Wounded Belonging"": 0.846154}","[""ddr-densho-1000-112-2"", ""ddr-densho-1000-112-6"", ""ddr-densho-1000-112-7"", ""ddr-densho-1000-112-8"", ""ddr-densho-1000-112-13"", ""ddr-densho-1000-112-14"", ""ddr-densho-1000-112-15"", ""ddr-densho-1000-112-16"", ""ddr-densho-1000-112-17"", ""ddr-densho-1000-112-18"", ""ddr-densho-1000-112-19"", ""ddr-densho-1000-112-24"", ""ddr-densho-1000-112-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_112_v1.csv""]"
113,ddr-densho-1000-114,13,1,1.965851,0.529997,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 1.0}","[""ddr-densho-1000-114-3"", ""ddr-densho-1000-114-8"", ""ddr-densho-1000-114-9"", ""ddr-densho-1000-114-10"", ""ddr-densho-1000-114-11"", ""ddr-densho-1000-114-12"", ""ddr-densho-1000-114-13"", ""ddr-densho-1000-114-14"", ""ddr-densho-1000-114-15"", ""ddr-densho-1000-114-16"", ""ddr-densho-1000-114-17"", ""ddr-densho-1000-114-19"", ""ddr-densho-1000-114-20""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_114_v1.csv""]"
114,ddr-densho-1000-116,8,3,1.957350,0.515933,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.125, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.125, ""Wounded Belonging"": 0.75}","[""ddr-densho-1000-116-3"", ""ddr-densho-1000-116-4"", ""ddr-densho-1000-116-5"", ""ddr-densho-1000-116-7"", ""ddr-densho-1000-116-9"", ""ddr-densho-1000-116-10"", ""ddr-densho-1000-116-11"", ""ddr-densho-1000-116-13""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_116_v1.csv""]"
116,ddr-densho-1000-118,3,1,1.955863,0.523121,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 1.0}","[""ddr-densho-1000-118-11"", ""ddr-densho-1000-118-23"", ""ddr-densho-1000-118-25""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_118_v1.csv""]"
117,ddr-densho-1000-119,10,3,1.957979,0.534351,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.1, ""Oppositional Citizenship"": 0.1, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.8}","[""ddr-densho-1000-119-3"", ""ddr-densho-1000-119-4"", ""ddr-densho-1000-119-5"", ""ddr-densho-1000-119-6"", ""ddr-densho-1000-119-7"", ""ddr-densho-1000-119-8"", ""ddr-densho-1000-119-9"", ""ddr-densho-1000-119-10"", ""ddr-densho-1000-119-11"", ""ddr-densho-1000-119-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_119_v1.csv""]"
118,ddr-densho-1000-120,8,3,1.954748,0.528321,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.125, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.125, ""Wounded Belonging"": 0.75}","[""ddr-densho-1000-120-2"", ""ddr-densho-1000-120-3"", ""ddr-densho-1000-120-4"", ""ddr-densho-1000-120-5"", ""ddr-densho-1000-120-6"", ""ddr-densho-1000-120-7"", ""ddr-densho-1000-120-9"", ""ddr-densho-1000-120-10""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_120_v1.csv""]"
120,ddr-densho-1000-122,4,2,1.933334,0.513325,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.25, ""Wounded Belonging"": 0.75}","[""ddr-densho-1000-122-8"", ""ddr-densho-1000-122-12"", ""ddr-densho-1000-122-13"", ""ddr-densho-1000-122-15""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_122_v1.csv""]"
121,ddr-densho-1000-123,18,2,1.966032,0.518681,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.166667, ""Wounded Belonging"": 0.833333}","[""ddr-densho-1000-123-3"", ""ddr-densho-1000-123-4"", ""ddr-densho-1000-123-5"", ""ddr-densho-1000-123-6"", ""ddr-densho-1000-123-8"", ""ddr-densho-1000-123-12"", ""ddr-densho-1000-123-13"", ""ddr-densho-1000-123-14"", ""ddr-densho-1000-123-15"", ""ddr-densho-1000-123-16"", ""ddr-densho-1000-123-18"", ""ddr-densho-1000-123-19"", ""ddr-densho-1000-123-20"", ""ddr-densho-1000-123-21"", ""ddr-densho-1000-123-22"", ""ddr-densho-1000-123-23"", ""ddr-densho-1000-123-24"", ""ddr-densho-1000-123-25""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_123_v1.csv""]"
121,ddr-densho-1000-124,9,2,2.020367,0.537400,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.111111, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.888889}","[""ddr-densho-1000-124-4"", ""ddr-densho-1000-124-5"", ""ddr-densho-1000-124-6"", ""ddr-densho-1000-124-8"", ""ddr-densho-1000-124-9"", ""ddr-densho-1000-124-10"", ""ddr-densho-1000-124-12"", ""ddr-densho-1000-124-13"", ""ddr-densho-1000-124-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_124_v1.csv""]"
121,ddr-densho-1000-125,8,2,2.021479,0.532343,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.125, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.875}","[""ddr-densho-1000-125-2"", ""ddr-densho-1000-125-3"", ""ddr-densho-1000-125-4"", ""ddr-densho-1000-125-5"", ""ddr-densho-1000-125-6"", ""ddr-densho-1000-125-7"", ""ddr-densho-1000-125-8"", ""ddr-densho-1000-125-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_125_v1.csv""]"
123,ddr-densho-1000-128,21,4,1.962346,0.523833,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.047619, ""Oppositional Citizenship"": 0.047619, ""Stigmatized Discomposure"": 0.142857, ""Wounded Belonging"": 0.761905}","[""ddr-densho-1000-128-2"", ""ddr-densho-1000-128-3"", ""ddr-densho-1000-128-5"", ""ddr-densho-1000-128-6"", ""ddr-densho-1000-128-7"", ""ddr-densho-1000-128-8"", ""ddr-densho-1000-128-9"", ""ddr-densho-1000-128-10"", ""ddr-densho-1000-128-11"", ""ddr-densho-1000-128-13"", ""ddr-densho-1000-128-15"", ""ddr-densho-1000-128-16"", ""ddr-densho-1000-128-17"", ""ddr-densho-1000-128-18"", ""ddr-densho-1000-128-19"", ""ddr-densho-1000-128-20"", ""ddr-densho-1000-128-21"", ""ddr-densho-1000-128-22"", ""ddr-densho-1000-128-23"", ""ddr-densho-1000-128-25"", ""ddr-densho-1000-128-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_128_v1.csv""]"
123,ddr-densho-1000-150,21,4,2.003017,0.544710,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.142857, ""Oppositional Citizenship"": 0.190476, ""Stigmatized Discomposure"": 0.047619, ""Wounded Belonging"": 0.619048}","[""ddr-densho-1000-150-4"", ""ddr-densho-1000-150-5"", ""ddr-densho-1000-150-6"", ""ddr-densho-1000-150-7"", ""ddr-densho-1000-150-8"", ""ddr-densho-1000-150-10"", ""ddr-densho-1000-150-11"", ""ddr-densho-1000-150-12"", ""ddr-densho-1000-150-13"", ""ddr-densho-1000-150-14"", ""ddr-densho-1000-150-15"", ""ddr-densho-1000-150-16"", ""ddr-densho-1000-150-17"", ""ddr-densho-1000-150-18"", ""ddr-densho-1000-150-19"", ""ddr-densho-1000-150-20"", ""ddr-densho-1000-150-22"", ""ddr-densho-1000-150-23"", ""ddr-densho-1000-150-24"", ""ddr-densho-1000-150-25"", ""ddr-densho-1000-150-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_150_v1.csv""]"
124,ddr-densho-1000-129,21,3,2.010947,0.534584,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.047619, ""Oppositional Citizenship"": 0.380952, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.571429}","[""ddr-densho-1000-129-2"", ""ddr-densho-1000-129-3"", ""ddr-densho-1000-129-5"", ""ddr-densho-1000-129-6"", ""ddr-densho-1000-129-7"", ""ddr-densho-1000-129-9"", ""ddr-densho-1000-129-10"", ""ddr-densho-1000-129-11"", ""ddr-densho-1000-129-12"", ""ddr-densho-1000-129-13"", ""ddr-densho-1000-129-14"", ""ddr-densho-1000-129-15"", ""ddr-densho-1000-129-16"", ""ddr-densho-1000-129-17"", ""ddr-densho-1000-129-18"", ""ddr-densho-1000-129-19"", ""ddr-densho-1000-129-20"", ""ddr-densho-1000-129-21"", ""ddr-densho-1000-129-22"", ""ddr-densho-1000-129-23"", ""ddr-densho-1000-129-25""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_129_v1.csv""]"
125,ddr-densho-1000-130,19,4,1.986820,0.532506,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.052632, ""Oppositional Citizenship"": 0.263158, ""Stigmatized Discomposure"": 0.052632, ""Wounded Belonging"": 0.631579}","[""ddr-densho-1000-130-2"", ""ddr-densho-1000-130-3"", ""ddr-densho-1000-130-4"", ""ddr-densho-1000-130-5"", ""ddr-densho-1000-130-6"", ""ddr-densho-1000-130-7"", ""ddr-densho-1000-130-8"", ""ddr-densho-1000-130-9"", ""ddr-densho-1000-130-10"", ""ddr-densho-1000-130-11"", ""ddr-densho-1000-130-12"", ""ddr-densho-1000-130-13"", ""ddr-densho-1000-130-14"", ""ddr-densho-1000-130-15"", ""ddr-densho-1000-130-16"", ""ddr-densho-1000-130-18"", ""ddr-densho-1000-130-19"", ""ddr-densho-1000-130-21"", ""ddr-densho-1000-130-1""]","[""data/processed/vm_returns_batch1/video_first_multimodal_embeddings_ddr_densho_1000_130_v1.csv""]"
