track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,source_path,estimate_reference,std_error_reference,p_value_reference,estimate_delta_vs_reference,std_error_ratio_vs_reference,same_sign_as_reference
track1_per_cell,main,share_joint_Injury_composed,timing_total,Timing total effect,R13,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0169763245593406,0.0178776245877572,-0.0180631757617912,0.0520158248804726,0.342323151396029,-0.1322453155651068,0.995908135794145,0.995908135794145,0.0019093668618768,2.036793294754289,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,0.015679504872884,0.0177417924698985,0.3768252246632525,0.0012968196864565976,1.0076560538113133,1.0
track1_per_cell,main,share_joint_Injury_discomposed,timing_total,Timing total effect,R13,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0231747263870249,0.0214880518764793,-0.0652905341628527,0.0189410813888028,0.2808135371488629,-0.3100013410058182,0.995908135794145,0.995908135794145,0.006581473302218,2.036793294754289,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0240724681100767,0.0216633730818141,0.2664797297087469,0.0008977417230517995,0.9919070218348417,1.0
track1_per_cell,main,share_joint_Rupture_composed,timing_total,Timing total effect,R13,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0070567709765395,0.0223207861722143,-0.0508047079806993,0.0366911660276203,0.7518868061834415,-0.1604087221023438,0.995908135794145,0.995908135794145,0.0001648326703024,2.036793294754289,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0079401250458275,0.0226305136066118,0.7256939436603291,0.0008833540692880009,0.9863137249210725,1.0
track1_per_cell,main,share_joint_Rupture_discomposed,timing_total,Timing total effect,R13,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0417658050510621,0.0251927891233865,-0.0076111543008877,0.0911427644030121,0.0973482303523734,-0.0812321116825027,0.995908135794145,0.995908135794145,0.0063476047498317,2.036793294754289,0.5840893821142407,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0430081292892167,0.0250888294158867,0.0864857231770966,-0.0012423242381545962,1.0041436651258815,1.0
track1_per_cell,main,share_joint_Distrust_composed,timing_total,Timing total effect,R13,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0047520425314676,0.0196040693278731,-0.0431753123645253,0.0336712273015899,0.8084695970344598,-0.2386451847579513,0.995908135794145,0.995908135794145,0.0001417253008919,2.036793294754289,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0031284882575399,0.0197906318287667,0.8743943502788857,-0.0016235542739276997,0.9905731912701027,1.0
track1_per_cell,main,share_joint_Distrust_discomposed,timing_total,Timing total effect,R13,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0032359323632012,0.0205031824124096,-0.0434214314599792,0.0369495667335766,0.8745940220026324,-0.2652578585550136,0.995908135794145,0.995908135794145,0.0001216414095221,2.036793294754289,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0031162268478123,0.0202327263837868,0.8775946546262361,-0.00011970551538889986,1.013367255776242,1.0
track1_per_cell,main,share_joint_Injury_composed,timing_total,Timing total effect,R13,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0043759514076247,0.0186096515554235,-0.0408501982210947,0.0320982954058451,0.8140968228186075,-0.1595515744028663,0.9956737825344936,0.9956737825344936,0.0001676747409158,2.20568289769208,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0045917883270428,0.0186738858950087,0.8057646273075423,0.0002158369194181003,0.9965602049864528,1.0
track1_per_cell,main,share_joint_Injury_discomposed,timing_total,Timing total effect,R13,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.008905252400335,0.0168096488192166,-0.0418515586787659,0.0240410538780957,0.5962712119070308,-0.3868727219863879,0.9956737825344936,0.9956737825344936,0.0011611468519122,2.20568289769208,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0113852391630578,0.0171383394007478,0.5064893489119162,0.0024799867627228,0.9808213284936547,1.0
track1_per_cell,main,share_joint_Rupture_composed,timing_total,Timing total effect,R13,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0516157708217055,0.0276144147725842,-0.1057390292301214,0.0025074875867103,0.0616005005303587,-0.2675039712240423,0.9956737825344936,0.9956737825344936,0.0099227441440798,2.20568289769208,0.5840893821142407,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.051829075330831,0.0285360283690474,0.0693292706226815,0.0002133045091254962,0.9677035085421046,1.0
track1_per_cell,main,share_joint_Rupture_discomposed,timing_total,Timing total effect,R13,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0519137424788694,0.0294402050438062,-0.0057879991044652,0.1096154840622041,0.0778394337592834,-0.0822607658318865,0.9956737825344936,0.9956737825344936,0.0127353765008546,2.20568289769208,0.5840893821142407,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0523939834662066,0.0299276679538304,0.0799998155205095,-0.00048024098733719794,0.9837119647686478,1.0
track1_per_cell,main,share_joint_Distrust_composed,timing_total,Timing total effect,R13,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.001791717092473,0.0218923759053336,-0.0446999854029394,0.0411165512179932,0.9347723110098084,-0.1937778151822631,0.9956737825344936,0.9956737825344936,2.4046732484683808e-05,2.20568289769208,0.9897386515410532,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0016314485149317,0.02219093088568,0.941393359431192,-0.0034231656074047,0.9865460812849874,0.0
track1_per_cell,main,share_joint_Distrust_discomposed,timing_total,Timing total effect,R13,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0102549870647868,0.0269610476405878,-0.0425876952962339,0.0630976694258076,0.7036759181848844,-0.2757315358595031,0.9956737825344936,0.9956737825344936,0.0015350077631536,2.20568289769208,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0111099233476852,0.0274220257885493,0.6853702145301053,-0.0008549362828984015,0.9831894933103741,1.0
track1_per_cell,main,share_joint_Injury_composed,timing_total,Timing total effect,R13,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0039863493964612,0.0230033318740293,-0.0410993526010586,0.049072051393981,0.8624199978720621,-0.2438704508168225,0.9939920942962006,0.9939920942962006,0.0001969044544547,2.051083878386616,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0037565397339553,0.0230481073616987,0.8705287434250556,0.00022980966250590006,0.9980573030589136,1.0
track1_per_cell,main,share_joint_Injury_discomposed,timing_total,Timing total effect,R13,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0001203219970468,0.009355536226959,-0.0184568360579463,0.0182161920638525,0.9897386515410532,-0.3648454030842873,0.9939920942962006,0.9939920942962006,2.983942101186799e-07,2.051083878386616,0.9897386515410532,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0007062919254943,0.0094384870388355,0.9403491342159568,0.0005859699284475,0.9912114291691887,1.0
track1_per_cell,main,share_joint_Rupture_composed,timing_total,Timing total effect,R13,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0094417362508798,0.0388948894135259,-0.0856743186840589,0.0667908461822993,0.8081990345122955,-0.3138155146862165,0.9939920942962006,0.9939920942962006,0.0004679383032787,2.051083878386616,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0097598928212472,0.0405143368944936,0.80963283136354,0.00031815657036739914,0.9600277925025646,1.0
track1_per_cell,main,share_joint_Rupture_discomposed,timing_total,Timing total effect,R13,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0301417271140553,0.0274786853301033,-0.0237155064754563,0.0839989607035669,0.2726794260750503,-0.1334730874740886,0.9939920942962006,0.9939920942962006,0.0057821538130942,2.051083878386616,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0302300777870654,0.0285017881310647,0.288854474496087,-8.835067301009997e-05,0.9641039082791336,1.0
track1_per_cell,main,share_joint_Distrust_composed,timing_total,Timing total effect,R13,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.011417380404541,0.0133892091131454,-0.0376597480477817,0.0148249872386995,0.3938090454450877,-0.1507073067704964,0.9939920942962006,0.9939920942962006,0.0015496156256404,2.051083878386616,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0093702442694317,0.0131810729330806,0.4771546914871128,-0.0020471361351092985,1.0157905339816793,1.0
track1_per_cell,main,share_joint_Distrust_discomposed,timing_total,Timing total effect,R13,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0163264567916518,0.03238286388958,-0.0797957037314912,0.0471427901481876,0.6141421737866465,-0.3245044868187561,0.9939920942962006,0.9939920942962006,0.0053899581882018,2.051083878386616,0.9839182747529616,1.0,0,0,robustness/causal_robustness_v2/r13/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0159788409495051,0.0333139515153887,0.6314804686626606,-0.00034761584214669863,0.972051120222751,1.0
track2,main,authority_stance,timing_total,Timing total effect,R13,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0052001498219335,0.0103153625375826,-0.0150175892392021,0.0254178888830691,0.6141791473769856,-0.2839488229017715,0.995908135794145,0.995908135794145,0.0017814699838524,2.036793294754289,0.8731752808421721,1.0,0,0,robustness/causal_robustness_v2/r13/track2/track2_estimates_v1.csv,0.0063661278803358,0.0103246899477731,0.5375034472500901,-0.0011659780584023002,0.9990965917390564,1.0
track2,main,belonging_stance,timing_total,Timing total effect,R13,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0088021926836665,0.0073937699313504,-0.0056893300917554,0.0232937154590885,0.2338547337459212,0.0484741873761971,0.995908135794145,0.995908135794145,0.0029104835375023,2.036793294754289,0.6681979420501922,1.0,0,0,robustness/causal_robustness_v2/r13/track2/track2_estimates_v1.csv,0.0096986105226265,0.0074500919862248,0.192981056526297,-0.0008964178389599987,0.9924400859776579,1.0
track2,main,how_multimodal_score_mean,timing_total,Timing total effect,R13,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.009109930481754,0.013659564437721,-0.0176623238606833,0.0358821848241913,0.5048188501148227,-0.1201956831322941,0.995908135794145,0.995908135794145,0.0008542095484537,2.036793294754289,0.8731752808421721,1.0,0,0,robustness/causal_robustness_v2/r13/track2/track2_estimates_v1.csv,0.0085641293064146,0.0138495441657742,0.5363321024194657,0.0005458011753393995,0.9862826006560788,1.0
track2,main,authority_stance,timing_total,Timing total effect,R13,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0014791513320961,0.00926632529919,-0.0166825125233487,0.019640815187541,0.8731752808421721,-0.3343189049598218,0.9956737825344936,0.9956737825344936,0.0001813434388923,2.20568289769208,0.8731752808421721,1.0,0,0,robustness/causal_robustness_v2/r13/track2/track2_estimates_v1.csv,0.0035636706557085,0.0092590825470131,0.7003235263750347,-0.0020845193236124003,1.0007822321639455,1.0
track2,main,belonging_stance,timing_total,Timing total effect,R13,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0170154905273848,0.0088953619959073,-0.0004190986140399,0.0344500796688096,0.0557672964575146,0.0931907852808224,0.9956737825344936,0.9956737825344936,0.0133326292342785,2.20568289769208,0.4892345568247545,0.5019056681176315,0,0,robustness/causal_robustness_v2/r13/track2/track2_estimates_v1.csv,0.017765020267067,0.0092660419805563,0.0552102724768018,-0.0007495297396821997,0.9599958660421755,1.0
track2,main,how_multimodal_score_mean,timing_total,Timing total effect,R13,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0176971044639631,0.0169685054458557,-0.0155605550813859,0.0509547640093122,0.2969768631334187,-0.1763078223829672,0.9956737825344936,0.9956737825344936,0.0038929236768082,2.20568289769208,0.6681979420501922,1.0,0,0,robustness/causal_robustness_v2/r13/track2/track2_estimates_v1.csv,0.0177142955776383,0.0174096876999245,0.3089173161790555,-1.719111367520093e-05,0.9746588071151493,1.0
track2,main,authority_stance,timing_total,Timing total effect,R13,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0020716391038759,0.0058796881864333,-0.0135956161896108,0.009452337981859,0.7245845982649117,-0.3464896241871518,0.9939920942962006,0.9939920942962006,0.0005127308862847,2.051083878386616,0.8731752808421721,1.0,0,0,robustness/causal_robustness_v2/r13/track2/track2_estimates_v1.csv,-0.0011101584151008,0.0058302830603696,0.84898595141046,-0.0009614806887751001,1.008473881208191,1.0
track2,main,belonging_stance,timing_total,Timing total effect,R13,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0173434844399973,0.0108127910510778,-0.0038491965924722,0.0385361654724669,0.108718790405501,-0.0457472337876441,0.9939920942962006,0.9939920942962006,0.0174143493012073,2.051083878386616,0.4892345568247545,0.869750323244008,0,0,robustness/causal_robustness_v2/r13/track2/track2_estimates_v1.csv,0.0176289479380256,0.0109283297271488,0.1067136556026035,-0.0002854634980283023,0.989427599737957,1.0
track2,main,how_multimodal_score_mean,timing_total,Timing total effect,R13,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.003163030290857,0.0170271298037886,-0.0302095308846571,0.0365355914663712,0.8526297194814156,-0.2095359347734029,0.9939920942962006,0.9939920942962006,0.0001776686113104,2.051083878386616,0.8731752808421721,1.0,0,0,robustness/causal_robustness_v2/r13/track2/track2_estimates_v1.csv,0.0028213885704086,0.0178591256327713,0.8744723862779221,0.0003416417204484003,0.95341340633967,1.0
